module_id	family_id
M102326	13915
M102332	2993
M102334	13916
M102336	13917
M102337	2994
M10234	13918
M102340	554
M102341	2995
M102347	13919
M102349	13920
M10235	2996
M102351	13921
M102353	13922
M102360	2991
M102361	2994
M102364	2995
M102365	13923
M102366	13924
M102367	13925
M102368	3
M102371	13926
M102373	13927
M102374	1168
M102379	2992
M102380	13928
M102385	13929
M102387	1167
M102389	13930
M10239	554
M10240	1167
M102405	13931
M102406	13932
M102410	2997
M102412	2997
M102413	13933
M102414	13934
M102415	13935
M102417	13936
M102419	13937
M10242	2993
M102422	2996
M102423	554
M102425	13938
M102427	3
M102432	13875
M102436	13876
M102437	13877
M102438	13878
M102439	13879
M10244	13880
M102448	13881
M102451	2984
M102457	13882
M102459	13883
M10246	13884
M102463	13885
M102464	13886
M10247	13887
M102471	13888
M102474	2985
M102477	1165
M10248	13889
M102493	13890
M1025	2986
M102508	2987
M102511	1165
M102517	2988
M102521	13891
M102524	2988
M102525	2984
M102527	13892
M102529	13893
M10253	13894
M102531	13895
M102537	13896
M10254	13897
M102543	13898
M102544	13899
M102545	13900
M102546	1165
M102548	89
M10255	2989
M102555	2989
M102557	13901
M102559	2987
M10256	13902
M10257	2986
M102575	1166
M102576	1166
M102578	13903
M10258	2990
M102582	13904
M102586	13905
M102589	1166
M10259	2990
M102590	2985
M102598	13906
M102599	89
M10260	13842
M102601	13843
M102604	13844
M102605	13845
M102608	2978
M102609	2979
M10261	13846
M102610	3
M102614	2980
M102617	2980
M102620	13847
M102621	13848
M102622	13849
M102623	192
M102624	192
M102626	13850
M102628	13851
M102629	2979
M102631	2981
M102632	2982
M102636	10
M102638	13852
M102639	13853
M10265	2982
M102650	13854
M102653	2978
M102658	1164
M102661	1164
M102664	13855
M102666	13856
M102667	13857
M102668	13858
M102669	13859
M10267	13860
M102673	2983
M102680	2983
M102681	13861
M102682	13862
M102683	192
M102689	192
M10269	192
M102691	13863
M102693	13864
M102696	13865
M102697	13866
M102699	13867
M10270	13868
M102701	13869
M102705	192
M102710	13870
M102718	2981
M102719	13871
M10272	13872
M102721	1164
M102724	13873
M102727	13874
M102728	1160
M10273	13811
M102732	23
M102737	13812
M102741	13813
M102742	13814
M102743	13815
M102745	13816
M102746	1161
M102747	13817
M10275	2973
M102751	13818
M102754	2974
M102755	2974
M102756	1161
M102759	13819
M102763	13820
M102767	13821
M102768	1162
M10277	13822
M102770	13823
M102771	23
M102775	1160
M102777	1160
M102778	13824
M102781	13825
M102783	2975
M102784	13826
M102790	13827
M102791	2976
M102793	13828
M102794	2977
M102797	2977
M102799	13829
M1028	1161
M102800	13830
M102801	2976
M102803	13831
M102807	13832
M102809	13833
M102819	13834
M10282	13835
M102823	13836
M10283	13837
M102836	13838
M102838	2975
M102842	1163
M102843	1163
M102847	1163
M102848	548
M102851	2973
M102853	13839
M102858	1162
M102869	10
M10287	10
M102870	1162
M102875	13840
M102876	13841
M102878	10
M102879	13778
M102890	2968
M102891	13779
M102893	13780
M102894	13781
M102900	89
M102903	13782
M102904	2969
M102909	13783
M102915	13784
M102916	60
M102918	2970
M10292	2970
M102923	13785
M102930	310
M102932	10
M102933	10
M102934	13786
M102935	13787
M102936	553
M102940	10
M102952	13788
M102953	13789
M102955	22
M102956	13790
M102958	553
M102967	10
M102970	553
M102971	13791
M102973	13792
M102976	13793
M102977	89
M102979	13794
M102982	13795
M102983	2968
M102986	2971
